GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRDAI,G20USSDBUL,G20HALRROS,G20HALDWIL,G20GOVRGIA,G20GOVDCOO,G20GOVLBIS,G20ATGRKNU,G20ATGDGRA,G20SOSRJAC,G20SOSDBEN,G20AUDRDOW,G20AUDDMOR,G20AUDLROO,G20SPIRARN,G20SPIDROM,G20SPILLEA
30057000020,30,057,000020,1503.2553020680389,784.8629134432357,41.3010259164644,1485.4776128872725,849.8242040276723,1485.504092066331,825.2875120850217,1475.4879260445255,777.2797034615905,68.81801868884446,1534.4526893648463,769.4182658945886,1556.1823040187173,736.9353304350064,1423.6639423496902,693.8021907872558,144.30821058003073,1406.071228910132,773.2991415137845,85.351235706041
30057000021,30,057,000021,373.4491857872435,224.0955694458712,24.97496380847116,354.5113743339432,268.0269486046848,361.4679005621125,258.01153775533874,333.610789154365,246.92792185665698,39.96862391217353,360.62914357629677,248.89069558293485,382.56072601112623,228.91258492586215,333.4464547304927,223.8072090417178,53.126636919386065,331.4030641170321,245.92172979746184,33.064808725623664
300570001-1,30,057,0001-1,125.63254014710394,96.63132533885025,6.013358933602472,119.69226167838863,109.58940457049555,118.71123309110568,107.5497160104136,111.80451319123597,108.37778490574924,8.069098995610632,121.80756013018568,102.46758043065913,128.733506636586,94.52666062168538,115.55976950934092,85.5692940346506,18.107155730881093,117.45848234401264,100.52332962616858,3.2217670972620023
300570001-2,30,057,0001-2,176.16088943908215,47.455760180421464,1.5098853982817664,173.9337644150206,54.243261420997776,170.95408536989595,54.93385741120174,162.86440878945425,54.373461268146265,5.812278049652128,173.53290803466916,49.287137518314,172.8340202018958,49.85402251401003,163.26642013627657,48.3065841539971,6.7581412525880475,164.05743681894876,50.31901235626021,3.998516704987151
300570015-1,30,057,0015-1,196.1522153271555,46.04361279333462,7.908221522704577,199.93315027492554,52.15298490836217,196.95912333942573,52.102041065687864,189.1274862903703,54.85269483115736,7.141766415208174,197.13948576528136,50.98786184345054,194.43822091090266,50.8170616089161,181.26882848944774,48.99060061232986,14.018737602017774,185.25967735291073,57.81366682682544,6.011125377711828
300570015-2,30,057,0015-2,285.72008437278464,103.49441225532551,11.103619717401363,281.8556689196816,123.46042990555564,272.8806812188857,121.46842730045937,267.72936139410757,110.63769039314865,26.91613577863621,289.7190757370091,109.54224002660402,305.4781572548185,96.66863317707185,261.56259274162716,108.45750123976728,31.09386882199509,274.5078310788817,111.6978971084114,12.069634615396184
30059000005,30,059,000005,830.7312197793811,257.288232573838,18.947966959906683,809.7891045068797,305.1550152258399,831.7253713382626,272.2484978616447,820.7544821837522,255.2961544466285,32.909990881081335,846.6825937993264,245.32455382917703,844.6926122118301,246.31770725943358,810.7834633809374,218.39754350369978,53.85133913750083,769.8954240797011,281.225586484993,41.88338587390625
30061000022,30,061,000022,278.49000215468243,163.96352034738615,8.025618792232667,260.4558822437322,198.88591339841727,124.81062014134942,123.49034135423402,263.3479821387923,172.00279159444423,20.058017370650294,280.7294218850276,170.92199174340723,284.61268296198494,165.97320538957044,267.22086388395803,154.03480964433757,31.06808788742622,261.16612596708643,164.1406156036431,28.007649948568645
30061000024,30,061,000024,128.48808330499563,64.51286421999849,4.05439468999984,117.45700062499571,75.59445625499825,129.5308219899955,64.51286421999849,119.43757394999577,67.5089788849985,7.101018709999702,126.49973930999559,67.51286421999849,126.49973930999559,64.49732287999853,120.44922995499573,62.48566687499857,10.062165359999817,113.3909499299959,66.56725890999833,14.058280024999828
30061000025,30,061,000025,378.5986622412195,130.465516589566,13.818686433272097,370.63909153657664,151.23604783285148,389.3688485708733,130.5212334671469,365.68637465007464,129.51163109868838,25.702805766213768,381.3091223111568,130.47512263955534,381.2834857945442,126.53458902568228,368.6107736921666,123.56496959606842,15.887626212465783,353.7872180483837,144.32419676385652,14.876506004757763
