GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOFUE,G16HALRZIN,G16HALDJUN,G16HALLBRE,G16GOVRGIA,G16GOVDBUL,G16GOVLDUN,G16ATGRFOX,G16ATGDJEN,G16SOSRSTA,G16SOSDLIN,G16SOSLROO,G16AUDRROS,G16AUDDLAS,G16SPIRARN,G16SPIDROM
30049000029,30,049,000029,291.31163599435126,170.4201684414003,22.02706075598056,6.330212588129036,2.242406881121646,315.6605052425006,176.5621465187729,11.717875360553405,240.9273018942611,253.22015030394536,11.836977777124176,360.49837334807205,133.76818126670514,281.39945865416,193.0927116026198,16.24238992832029,268.34202542266604,217.47101213943128,256.97118779496344,231.74890082529507
30049000030,30,049,000030,112.4345512268934,46.362940103661586,5.924138868009192,1.9721717275387753,6.836223013833064e-4,104.5628494593231,54.24891809091253,4.93379393544291,92.70563192591186,68.07820193691279,5.917907993520475,127.2316763267334,35.52354022637886,106.5204814298068,52.28673716052008,6.90212746654781,104.54247334640488,59.19349186075293,100.59692076914922,61.17057992565253
30049000031,30,049,000031,452.93901542293816,114.35451877833592,32.31217029038966,5.9998258453209115,9.57529691016295e-10,439.0288787018501,143.5325908021911,28.043915741887005,332.3610288552778,248.15577031136908,34.0884699872965,471.1621352213229,120.3990730761901,404.94040873973614,162.66622463972396,29.999129207905302,389.6277450632399,196.8888799324499,386.80674581384943,202.7097920932636
30049000032,30,049,000032,63.04792461247403,7.64217265831482,6.686900985337085,5.374126346094149e-8,0,64.95846774346444,11.46325908151944,0.9552715923658394,50.62939412668317,24.83706118654677,1.910543157861047,67.82428260117386,8.597444223810028,63.04792455873277,14.329073858616958,0,56.36102354652505,19.105431659222365,60.18210978163525,15.28434547785343
30049000033,30,049,000033,479.63314514581776,125.87399462191595,37.641707375958624,6.695392384632942,1.222458712254863,478.1374513960239,162.5401412324547,30.803163035037773,386.02669234344734,261.7304943227628,24.640658657344442,535.3401460366714,120.13320188038466,468.83735160056267,178.24935665941993,20.81873660532625,436.6381053341801,202.05005920694381,421.4481377708522,226.83468920540898
30051000001,30,051,000001,226.3883519300858,42.0680121836135,14.021970376020773,0.007570221575181084,0.9999987295520575,230.39339366267748,53.08493955659465,5.018858101274478,195.34543764261468,85.14611672554597,7.005338072040882,257.42249539280965,28.050188169597103,220.38001107966673,65.10024270431519,3.010990269802157,218.3611491670484,58.11154582938981,203.34885133860195,75.14210526886853
30051000002,30,051,000002,159,66,11,0,0,157,79,5,117,121,4,180,50,151,89,1,138,91,125,111
30051000003,30,051,000003,153,57,15,2,2,164,63,10,138,91,8,178,52,149,78,9,141,83,134,97
30051000004,30,051,000004,160,41,7,0,0,162,43,7,123,81,8,169,36,145,58,6,127,72,117,87
30053000001,30,053,000001,341.9749525967135,79.66414621521028,15.921703755081072,4.9689980143884425,0.003837403998199865,335.9258522295668,88.72531028476726,18.91281850837436,305.179076280296,112.57523306523518,23.844920702498413,348.0066129548262,83.59084849800576,325.9961133457719,96.55789283777644,14.026182825243046,337.976078747811,86.72970330522973,330.999521059609,100.60635431107816
30053000002,30,053,000002,216.87560644299285,67.56582789155354,16.071410566722626,2.054369479036052,0.003194321884392183,196.9584822826147,84.5935899766132,21.064628800732944,181.70467270867636,95.83601148129654,25.063290201554956,216.04066446581498,71.5389600268527,185.94410045893338,82.64749841746674,24.016330771901643,213.82989976220517,76.65515965341213,205.80215497400255,82.77197573274888
