GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04001000130,04,001,000130,201.99916208681765,480.9980047710856,50.999788447661885,3.9999834076597556,281.99883024001275,431.9982080272536,26.99988800170335,0,212.999116457882,524.997822255343,0.9999958519149389,214.99910816171186,511.9978761804487,4.999979259574695,219.99908742128656,510.99788032853377,1.9999917038298778,205.99914549447743,529.9978015149177,1.9999917038298778,213.99911230979694,517.9978512919383,0.9999958519149389
04001000135,04,001,000135,19,75,5,0.9999999999999999,20,75,1.9999999999999998,0.9999999999999999,18,83,0,21,78,0,15.999999999999998,84,0,17,84,0,17,81,0
04001000140,04,001,000140,74.07105897128102,235.0521604688651,17.777054153107446,0.9876141196170803,70.12060249281271,228.13886163154555,23.702738870809927,0,72.09583073204686,249.86637226312132,0,84.9348142870689,231.1017039903968,0,94.81095548323971,224.18840515307724,0,68.14537425357854,247.89114402388716,0.9876141196170803,80.98435780860059,235.0521604688651,0
04001000145,04,001,000145,66.84641193846122,543.8750067692281,15.143639076923002,0,85.78195476923034,517.9076323692282,24.207422523076804,0,57.814628492307406,568.0504292923049,0,75.95819538461501,545.8749586461512,0.032,75.862195384615,547.9869105230742,1.9999518769230669,71.79829163076887,552.0348142769203,0.016,69.87833975384581,551.9228142769203,0.9999759384615334
04001000150,04,001,000150,50,322,14,1,50,313,19,0,47,337,0,48,334,0,55,327,0,42,340,0,53,329,0
04001000155,04,001,000155,43.22318354904886,392.70437115180334,11.14137623331068,1.008058017727639,49.36062701964959,379.54258519725045,18.165766840339796,0,37.21490897747503,407.8258188946411,1.0120870265914583,47.312038297899086,397.7124772926079,1.008058017727639,49.38858946631166,397.664177309319,1.0040771319407524,32.23136187446883,413.8133468834342,0.0040290088638195,48.27966185775773,397.7569407593407,1.0040530704022859
04001000160,04,001,000160,399.6257269174977,88.67183765785259,13.061949680801003,1.0072414895029949,438.8803605144194,52.439239238550165,13.04694775855944,1.003590879728067,397.7031749881013,92.65316814072746,1.003546492712306,410.7752775319434,73.5521303249356,1.0108033252464,403.6812236582809,75.62426848107249,0.01090744230902193,387.6053833727099,93.67852951805781,0.014469278052427068,402.6588914725048,77.6429791010583,1.0036352667438284
04001000165,04,001,000165,608,213,25,6,660,159,23,2,610,225,3,629,197,4,620,204,0,587,231,1,583,228,3
04001000170,04,001,000170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04001000175,04,001,000175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
