GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04005000022,04,005,000022,1656.3925835646926,972.025334307038,61.92852475540924,1650.5002649437813,1032.807112661159
04005000023,04,005,000023,994,455,51.99999999999999,1014,478
04005000024,04,005,000024,1496.0341172361404,1027.900959149563,42.82920638517908,1494.0420625698262,1059.773854819707
04005000025,04,005,000025,1119,645,40,1145,650
04005000026,04,005,000026,595.6625258799172,437.3850931677018,32.34368530020704,617.5403726708074,431.48447204968943
04005000040,04,005,000040,281.9586720152827,337.9504650395941,13.997948256077864,288.9576461433216,339.95017193331955
04005000041,04,005,000041,142.97050840978594,466.90368830328697,2.9993812953101946,147.96947723530295,459.9051319475632
04005000042,04,005,000042,546.8971227117855,180.25514226302414,16.75304505837295,586.5431902694369,158.1931894401179
04005000043,04,005,000043,653,140,20,663,145
04005000047,04,005,000047,318.8953412073491,87.97112860892388,15.994750656167978,348.88549868766404,69.97703412073491
04005000048,04,005,000048,190.32128514056225,23.6425702811245,3.0803212851405624,181.289156626506,32.803212851405625
04005000050,04,005,000050,752,1019,41,783,1020
04005000051,04,005,000051,106.58690176322419,128.93198992443325,3.8488664987405543,108.3375314861461,129.5390428211587
04005000052,04,005,000052,620.4130982367758,853.0680100755668,26.151133501259448,645.6624685138538,849.4609571788413
04005000053,04,005,000053,40,111,2,42,107
04005000055,04,005,000055,192.12420177850652,114.1042213608389,2.925749265662536,194.07470128894823,114.1042213608389
04005000056,04,005,000056,365.3345748857161,308.3865241707045,9.035551901812935,367.3582761535914,320.3865241707045
04005000058,04,005,000058,121.10532920361108,483.984217909567,7.136587460698948,148.28445246487672,461.8967646452677
04005000059,04,005,000059,495.12577354343273,149.16366668165958,21.00438475732137,496.12430618817206,170.16511817083133
04005000060,04,005,000060,56.08560708621399,5.015430427778849,0.9852544972738132,53.13767207730055,6.980801377182873
04005000061,04,005,000061,355.880195599022,168.49779951100246,12.52958435207824,398.6044009779951,135.1036674816626
04005000062,04,005,000062,1702.0653155945524,1068.7569772609638,63.196343135848124,1738.967533270609,1083.1108158565596
04005000063,04,005,000063,61.375439366142466,114.45976534703786,3.0167618088556494,72.38842591643407,108.4521829033445
04005000064,04,005,000064,4.0000779677440645,12.000325120396818,1.0000040767447878,5.000084082861246,14.000319514872734
04005000065,04,005,000065,688.3466601140723,204.2778468609742,21.574669192542277,740.7475589886437,170.63027747246585
04005000066,04,005,000066,134.92821249229144,429.7713434939653,12.993087128887323,163.912791472117,402.785700995507
04005000067,04,005,000067,532.3096481835063,185.68821825963178,24.913625803722077,562.2138113429003,175.70551740426774
04005000069,04,005,000069,861.4296516338104,219.29732649203348,17.77855792600594,874.0324061571698,211.9457196867405
04005000070,04,005,000070,251.85999999999999,25.48,6.86,241.08,41.16
04005000071,04,005,000071,NA,NA,NA,NA,NA
04005000072,04,005,000072,350.00000000000006,452,17,373.00000000000006,441.00000000000006
