GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PREOFUE,G16USSRPAU,G16USSDGRA
2121900E101,21,219,00E101,242,81,4,4,1,1,242,92
2121900E102,21,219,00E102,244.82936488401032,205.4850189317837,7.047447504196233,0.010543889821385183,1.0474475041962332,0,237.9242598924028,207.4955628216051
2122100A101,21,221,00A101,610.1896659224192,223.41835080631586,14.062307566898108,6.008901080985444,6.035604323941776,1,583.1718637604483,259.5073616161703
2122100A102,21,221,00A102,76.27384637307976,23.108542744238893,3.002987414979052,2.0039832199720693,1.0019916099860346,0,76.2638883231496,27.129454649092256
2122100B101,21,221,00B101,373.84484611881203,74.51983499883715,9.53365114420579,1.1937241757226347,6.381026487188497,0,336.4552571459478,122.90630064050632
2122100B102,21,221,00B102,496.44948932629,162.59682886849419,13.469559787922597,4.810557067115213,9.621114134230426,0,486.8283751920596,197.23283975172373
2122100C101,21,221,00C101,589.2305389221557,253.23952095808383,14.955089820359282,4.985029940119761,6.979041916167665,0,552.3413173652694,299.10179640718565
2122100D101,21,221,00D101,377.8491902834008,170.48076923076923,4.984817813765182,1.9939271255060729,0.9969635627530364,0.9969635627530364,369.8734817813765,176.46255060728745
2122100D102,21,221,00D102,31.769461077844312,6.7604790419161676,0.04491017964071856,0.014970059880239521,1.0209580838323353,0,31.65868263473054,6.8982035928143715
2122100D103,21,221,00D103,140.15080971659918,64.51923076923076,2.0151821862348176,3.006072874493927,1.0030364372469636,0.003036437246963563,127.12651821862349,81.53744939271255
2122100E101,21,221,00E101,284.8339110742889,101.5338547362607,10.782356255178128,3.5941187517260427,1.7970593758630213,1.7970593758630213,286.6309704501519,115.91032974316487
2122100E102,21,221,00E102,243.8103340775808,46.581649193684136,6.937692433101892,0.991098919014556,3.964395676058224,0,241.82813623955167,56.49263838382969
2122100E104,21,221,00E104,186.16608892571114,55.46614526373929,2.217643744821872,2.4058812482739573,0.20294062413697872,0.20294062413697872,169.3690295498481,74.08967025683512
2122100F101,21,221,00F101,214.1301775147929,43.218934911242606,1.9644970414201184,0.9822485207100592,5.893491124260355,0,211.18343195266272,50.09467455621302
2122100F102,21,221,00F102,618,134,17,5,7,1,604,173
2122100G101,21,221,00G101,397.7580786026201,115.32052401746725,16.613973799126637,3.909170305676856,4.88646288209607,0,395.8034934497817,136.82096069868996
2122100G102,21,221,00G102,283.6737395791981,111.4542693709625,3.3798278537659248,4.082565231513227,2.1094048864989716,0,273.64898588906135,132.91044425998774
2122100X001,21,221,00X001,3.869822485207101,0.7810650887573964,0.03550295857988166,0.01775147928994083,0.10650887573964497,0,3.8165680473372783,0.9053254437869823
2122100X002,21,221,00X002,0,0,0,0,0,0,0,0
2122300A101,21,223,00A101,189.51085825296607,64.71102476930548,4.622216054950392,0.9244432109900783,0,0,156.23090265732324,100.76430999791855
2122300A102,21,223,00A102,212.92366773386792,51.43839607790389,4.390149293376844,5.080184462249717,1.0091074549536139,0,188.12358167796737,85.49417775814487
2122300A103,21,223,00A103,316,91,10,2,1,0,260,155
2122300B101,21,223,00B101,221.81805273275555,98.82705573760127,6.524785962162895,0.458021728831885,2.240343771590996,0.2261776376221791,182.41301499977112,143.7852117006862
2122300B103,21,223,00B103,330.9590133325856,110.81232822697542,14.094659764388258,2.277206474589269,5.410143258296376,0,293.7031400391464,173.54889365774923
2122300B104,21,223,00B104,147.02624885178597,63.45343371498131,8.51204598615603,1.5476447247556417,0.7738223623778209,0.7738223623778209,132.32362396660736,86.66810458631593
2122300C101,21,223,00C101,163.19064748201438,70.94604316546763,7.129496402877698,1.0323741007194245,4.032374100719425,0,125.70143884892086,120.33812949640287
2122300C103,21,223,00C103,222.565474013166,71.85057915279063,5.9876346516727645,2.995372326760205,3.990892545046386,0,184.6455156647094,123.74151224393658
2122300C104,21,223,00C104,334,85,11,3,5,0,290,147
2122300D101,21,223,00D101,216.96936915197142,46.99336566886017,3.999435376073206,0,0.9998588440183015,0.9998588440183015,177.97487423525766,87.98757827361054
2122300D102,21,223,00D102,204.47130974519592,47.87633785066606,8.976760399603346,4.053389208813169e-6,2.9922521154047126,0,168.56414654510627,93.75764909730644
2122300D103,21,223,00D103,245.36867362081824,88.18425331500613,3.894307821445749,0.9676218458913667,0.9755149398575613,1.4115598169850145e-4,200.7595403707152,129.91664313268015
2122500A101,21,225,00A101,455,88,14,4,2,0,389,164
2122500A103,21,225,00A103,230,139,6,6,11,0,198,185
2122500A104,21,225,00A104,267.784086861456,73.39267565832498,8.9261362287152,3.9671716572067557,0,0,218.19444114637156,128.93307885921956
2122500B101,21,225,00B101,307.61409277794957,66.48862231913378,7.716662189078911,0.2533235954168961,1.808245860557688,0,247.52304574463295,134.05005518183563
2122500B102,21,225,00B102,291.25837933730713,84.83987302567955,3.498801894252592,2.623823036022998,1.749297841694279,0,230.9077275253729,146.06550369584335
2122500B103,21,225,00B103,183,96,6,2,0,0,144,140
2122500C101,21,225,00C101,353.8556196168784,56.90140616954829,4.44542235699596,0,0.889084471399192,0,282.728861904943,134.25175518127799
2122500C102,21,225,00C102,251,69,5,1,1,0,204,120
2122500C103,21,225,00C103,244.5338342043465,55.092289473516615,8.009377265089139,0.002184837370324114,1,0,196.45599333065525,109.17295310018605
2122500C104,21,225,00C104,142.4481230202618,15.331799753195604,3.1866110174883087,0,0.04184100418410042,0,112.3041887164235,48.74602708289041
2122500E102,21,225,00E102,317.9108549591283,86.34590181030572,5.693841369027116,5.436755901124479e-4,4.743055555555555,0,252.43874699798795,156.56160900259178
2122500E103,21,225,00E103,338.8948976662931,58.8227215641645,3.0706115980844646,0.016778284266035396,0.008389142133017698,0.008389142133017698,280.3825743610503,116.44853032488516
2122500E104,21,225,00E104,271.4436086382656,69.06282644747468,12.92356880928702,1.9832217157339647,0.9916108578669823,0.9916108578669823,239.0703839318692,113.32450556260272
2122500F101,21,225,00F101,404.4371492035645,143.60129779651965,6.266634606631703,0.13109567831887395,5.0555481303123635,1.0132212515999917,318.6001741006824,234.90969036873517
2122500F102,21,225,00F102,130,58,2,1,1,0,111,77
2122500F103,21,225,00F103,353.2614799843622,142.71499340675382,14.937411100975384,5.966547479289185,1.0133277631249338,0.004874914741788711,289.14375382377125,229.65226001181136
2122700A101,21,227,00A101,364.3194997520164,142.1945954249104,26.017869318853794,1.0048617425523707,7.01129807079071,0,380.3473531986153,156.20004744549067
2122700A102,21,227,00A102,659.965210064055,342.4498951938746,23.144192006796505,4.001725863975611,18.14566354950096,0,663.99596690942235,374.69594995681337
2122700A103,21,227,00A103,211.6687511457841,193.4786534398212,14.364959062422095,3.995680549073762,10.305932323237679,0,238.78090613675536,199.4088280733212
2122700A104,21,227,00A104,278.13290885012606,226.0623010234966,14.008306803132879,3.0029667154046,8.00474674464736,0,310.1495224563918,220.06348770965843
2122700A105,21,227,00A105,533.8736879307052,298.357602201633,30.39941815429868,2.7347490606929927,17.547645673120247,0.03125,565.0741758638134,322.8429988612311
2122700A106,21,227,00A106,349.84991735135713,174.9748808989628,15.05895914898539,1.023477037759017,13.984387928535664,0,352.9941091898016,199.03027987128587
2122700A107,21,227,00A107,193.7125288364713,138.69266071094765,7.096113226489142,10.021358494775363,3.0747547317137767,1,220.92077416053115,126.69800033464149
2122700A108,21,227,00A108,338.63678571343337,290.400731934485,15.750548172717831,11.812911129538374,14.766138911922967,0,337.6523764526385,325.8394653231001
2122700A109,21,227,00A109,374.3614665946443,387.78493461738464,39.5314739173062,14.118383541895072,16.000834680814414,0,422.36397063708756,407.55067157603776
2122700A110,21,227,00A110,489.6533762204468,303.70627988534756,17.257112581103932,3.87626111001441,13.441196037779546,0,526.8811917303683,304.8287209365217
2122700A111,21,227,00A111,214.67517195795472,100.62898685529127,13.41719824737217,4.7918565169186325,7.666970427069812,0,241.50956845269909,102.54572946205873
2122700A112,21,227,00A112,277.2728160103919,286.98701649743424,25.05040552342006,7.699672113746489,9.695343181817439,0,310.090727279364,291.83359325543796
2122700A113,21,227,00A113,150.3632142865666,159.59926806551496,16.24945182728217,6.187088870461626,13.233861088077033,0,179.34762354736148,162.16053467689986
2122700A114,21,227,00A114,288.5231680461351,132.83005868139094,6.209535887072855,0.20949621860300577,5.02235050504515,0,306.56000295415373,131.98195475496166
2122700A115,21,227,00A115,305.1848725845879,125.5752239071626,14.796848844218106,1.9747970982653722,9.86994852196338,0,316.00992390077613,147.2737701719008
2122700A116,21,227,00A116,0.6662005535392529,0.0739767387359809,0.004623546170998806,0.002489601784383973,0.004267888773229668,0,0.6704684423124825,0.08002291449805628
2122700A117,21,227,00A117,0.100534177500701,0.035502731613150776,0.0022189207258219235,0.0011948034677502664,0.002048234516143314,0,0.10258241201684432,0.038404397177687136
2122700A118,21,227,00A118,3.9720414925663157,2.573976276025239,0.05768892699344591,0.01293191717515831,0.04492069640037403,0,3.3173023431752053,2.5776252920484986
