GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
23005011125,23,005,011125,694.5836783578051,884.6569429466053,116.74797404608397,0,169.19180560599105,730.2709591575255,806.3756664908086,0.001194921583271098
23005012300,23,005,012300,203.47350421756838,64.87578752181501,9.254551701570682,0,33.61744073589296,43.34640634089587,201.56572025887144,0
23005015430,23,005,015430,2985.0729216531035,1911.0498909632468,206.00547843199828,2,413.0136694856657,1428.0375511940854,3302.0778681985003,0
23005024495,23,005,024495,4440,2794,308,0,700,2036,4728,0
23005026525,23,005,026525,3304.8951068228807,1525.1057201929702,233.70971743625086,0,550.3164713990351,1179.5349414197105,3425.7450034458993,0
23005027025,23,005,027025,29,30,4,0,2,24,37,0
23005028240,23,005,028240,4062.5850324076414,4427.559495940419,390.96878876228413,0,991.9081396526317,2972.71626147531,4549.53112208795,2.9989359805324134
23005028870,23,005,028870,1805,2137,232,0,362,1745,2101,0
23005031390,23,005,031390,1795.2836428294042,1209.717399010628,148.64947693299095,0,189.63943402134268,975.227050605405,2052.629989133395,0
23005031600,23,005,031600,526,608,94,0,106,527,614,0
23005041067,23,005,041067,105,50,5,0,12,28,117,0
23005048085,23,005,048085,769.1469261162549,1144.3172756794456,120.06441687887241,0,183.9253608226937,918.1355139505183,867.6179079975303,1.9988050784167288
23005048820,23,005,048820,1259,1466,166,0,214,1313,1383,0
23005053860,23,005,053860,1370.9270783468965,937.9501090367534,102.9945215680017,0,256.9863305143343,705.9624488059146,1463.9221318015,0
23005060685,23,005,060685,516,416,64,0,100,359,542,0
23005061945,23,005,061945,1124,1274,133,0,195,1008,1321,0
23005066145,23,005,066145,5894.995424060033,4708.3015345228405,522.4610520467365,0,1053.7132300725734,3467.6703414846475,6605.362529595937,0
23005066775,23,005,066775,358,530,38,2,89,424,402,0
23005073670,23,005,073670,1811.6398593974982,2508.3119914662293,240.75757714570102,0,411.182178623835,1922.712467036179,2206.0817055675097,0
23005084301,23,005,084301,1259.9166245578574,500.16624557857506,93.19252147549267,0,180.60181910055584,394.74633653360286,1304.199595755432,0
23005084302,23,005,084302,718.5470967574913,285.25141795212147,53.14892623884919,0,102.99960350897547,225.12905103654384,743.8022602894267,0
23005084303,23,005,084303,896.0438338625754,355.71471280026435,66.27786521947444,0,128.44274234908787,280.7408156193695,927.5375712363683,0
23005084304,23,005,084304,935.7866978271854,371.49197827185446,69.21753410813542,0,134.13965386558868,293.1927109651339,968.6772991409803,0
23005084305,23,005,084305,1872.5366346639717,743.366346639717,138.50631632137444,0,268.41738251642244,586.6872157655381,1938.3516927741284,0
23005084306,23,005,084306,1166.0008211217787,462.88321121778677,86.24583122789288,0,167.1395275391612,365.3214375947448,1206.9828827690753,0
23005084307,23,005,084307,776.1682912091399,308.12608753968084,57.41100540878097,0,111.25927112020851,243.18243248506693,803.448698034589,0
23005086025,23,005,086025,3685,4182,468,2,776,3131,4476,0
23005087845,23,005,087845,3450.1048931771193,1573.8942798070298,225.29028256374914,0,629.6835286009649,1138.4650585802895,3592.2549965541007,0
23005605411,23,005,605411,2737,332,87,0,777,245,2158,0
23005605412,23,005,605412,2037.5301611670916,322.77705523439073,131.12817868897125,0,823.4482829559173,235.66392953192732,1424.9873404381908,0
23005605413,23,005,605413,608.0564356915472,109.32577199074015,18.13234487123819,0,148.83108877183142,68.23785057278472,522.438209300029,0
23005605421,23,005,605421,3410.4425937895717,301.9662713251183,147.03586414196937,0,1072.6710357202733,215.1262978721431,2600.2651141885185,0
23005605422,23,005,605422,2671.8799202335313,284.2029096040106,132.0726585980313,0,1074.825368429933,211.5693931165827,1800.9694993678688,0
23005605431,23,005,605431,2993.5195839419844,616.8611120307402,167.9241130760214,0,791.7863650459188,463.5219027129618,2585.896869517764,0
23005605432,23,005,605432,2450.5926136174976,638.0354498316079,136.9955995884684,0,549.8984207257403,505.8299061728063,2232.1660632246944,0
