GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
10003006-05,10,003,006-05,871,140,8,21,835,128,12,4,832,132,16,5,796,176,839,126
10003006-06,10,003,006-06,427.79521913893166,105.04556866890655,10.032549049218968,12.01952942953138,415.4176501679916,83.06509809843794,11.032549049218968,13.006509809843793,416.3395324498661,91.05207847875035,7.0520784787503485,10,403.96847328876987,114.42964744969038,421.2353754923654,93.0976471476569
10003006-07,10,003,006-07,483,261,10,35,473,239,15,14,513,225,13,10,504,235,516,226
10003006-08,10,003,006-08,710.8715159755269,670.2399728076139,15.294357579877634,67.91230455472468,740.7328348062542,609.7314751869477,21.016995241332427,24.970768184908227,819.7668252889191,577.8361658735554,13.600951733514616,15.600951733514616,896.9055064581917,526.8239292997961,908.4309993201904,498.63426240652615
10003006-09,10,003,006-09,571.8522924874127,705.6672740964793,22.24622690241914,70.17089191359062,587.2944441332611,659.3318085351358,32.24900763643832,23.753347398818747,663.8540612533219,624.02086172881,19.174684615719737,18.074323020718584,739.1684634390734,582.6429221357133,738.1999751053355,565.9930543886181
10003006-10,10,003,006-10,646,541,10,57,631,545,20,22,655,546,17,12,665,540,670,540
10003006-12,10,003,006-12,284.4429469901168,271.2030548068284,3.082659478885894,23.340970350404312,261.1329739442947,296.6783468104223,4.123989218328841,10.092991913746632,299.8045822102426,263.2857142857143,3.082659478885894,9.06199460916442,273.33962264150944,281.533692722372,259.2982929020665,292.6163522012579
10003006-13,10,003,006-13,734.3124274684955,507.52477980135467,23.977548652032503,55.947613521409174,767.2815568650401,421.6052304649049,47.955097304065006,27.973806760704587,796.2544281529126,433.5940047909211,35.96632297804876,18.9822260161924,816.2357186962731,434.59306931808914,851.2029771471539,406.61926255738456
10003006-15,10,003,006-15,811.0075149421306,246.00315039665847,14.000153366165929,50.000274781047295,798.0072848928817,224.00292673766648,17.00023643950581,25.000146975909015,809.007336014937,238.0030225915202,14.00010224411062,18.000127805138273,771.007336014937,291.0032142992276,847.0077897231778,217.0027542007298
10003006-16,10,003,006-16,698.5584391969456,69.2770110801642,11.096474501317163,12.27467467810061,632.280845578174,62.19887761803279,12.34939813478453,13.193843296467525,627.4065739952388,61.29552631475896,10.146084936026506,11.212236482229372,556.5014066087651,133.48557510297874,611.7056325169708,85.24508788731941
10003006-17,10,003,006-17,70.57915360501568,83.27155172413792,4.135188087774295,2.468652037617555,76.62421630094045,62.541536050156736,10.198275862068964,3.1532131661442007,85.71434169278997,58.69474921630094,5.117163009404389,3.135188087774295,88.47100313479623,59.956112852664575,86.03879310344827,64.5865987460815
10003006-18,10,003,006-18,818,239,21,36,797,198,27,22,800,214,23,12,786,247,839,204
10003006-19,10,003,006-19,143,48,6,9,135,43,5,5,134,55,5,2,137,53,145,43
10003006-21,10,003,006-21,768,466,22,52,747,461,25,27,792,431,31,21,768,465,809,441
10003006-22,10,003,006-22,270,271,10,21,275,268,6,8,312,239,4,6,299,255,299,258
10003006-23,10,003,006-23,716.2129622483401,490.1885437112035,14.305112677647463,59.125293794986106,682.8316532849165,522.6079765207769,16.214024835412946,24.793597826049027,731.4722916476132,507.34338126184946,12.399551521480166,15.25861132750215,739.1024350617639,504.48432145582746,770.5674117924545,475.8803193892149
10003006-24,10,003,006-24,681.2375145703357,445.15815739360517,20.0692875789088,57.41919280709245,693.0550799318647,393.5253786071276,29.210697765807982,25.775304370435922,725.0777010706335,396.01394024721924,23.42251092867516,21.528847418114342,746.9031111452542,401.7485289316269,756.8573577056209,384.6001338476471
10003006-25,10,003,006-25,689.1175417661098,370.3156324582339,9.719570405727923,53.45763723150358,684.2577565632458,323.66169451073984,31.102625298329357,22.355011933174225,690.0894988066825,345.04474940334126,17.49522673031026,18.467183770883057,718.2762529832935,344.0727923627685,734.799522673031,318.8019093078759
10003006-26,10,003,006-26,734,396,23,51,742,359,32,28,760,377,21,16,781,378,853,304
10003006-27,10,003,006-27,618,231,15,21,616,191,19,12,615,201,10,8,609,223,649,184
10003007-01,10,003,007-01,417,31,1,7,372,30,3,2,362,31,4,1,338,72,361,38
10003007-02,10,003,007-02,432.68328500925907,66.7721522047285,6.070809280362235,14.01847037746466,387.8150807640065,57.64527719149647,15.820177531105074,9.102704590166024,397.5180546941186,55.90214689629486,14.927023898964968,6.975756145210153,384.65577811216673,72.14378397693072,395.97082943554676,69.6227637570622
10003007-03,10,003,007-03,1005,98,15,8,941,61,14,3,927,71,14,7,845,150,921,77
10003007-04,10,003,007-04,736,247,17,67,718,267,19,16,755,235,20,12,719,275,712,275
10003007-05,10,003,007-05,553.0036204020311,150.00218509471696,6.000114253318533,16.0002570699667,525.0037917820089,133.00202799640397,11.000107112486125,5.000057126659267,545.0039417394894,130.00190660225303,4.000092830821308,5.000057126659267,515.0039845844839,159.00198515140954,564.0041702461265,117.0017923489345
10003007-06,10,003,007-06,543,344,17,39,514,371,20,11,561,342,16,17,553,356,546,366
10003007-07,10,003,007-07,720,353,24,46,697,327,28,29,755,288,30,18,765,305,743,332
10003007-08,10,003,007-08,554,767,18,59,557,741,24,21,682,661,10,10,733,629,770,582
