GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10003007-26,10,003,007-26,1056,392,16,8,1037,344,20,27,991,381,14,21,1035,351,17,19,1000,402,1055,350
10003007-27,10,003,007-27,249,246,9,3,254,235,8,2,231,251,8,3,242,245,7,1,236,254,259,233
10003008-01,10,003,008-01,123,38,1,2,116,37,1,4,115,37,2,2,122,34,1,3,117,40,122,35
10003008-02,10,003,008-02,572,23,0,1,499,22,8,7,512,17,2,16,505,26,3,14,471,48,476,28
10003008-03,10,003,008-03,739,231,10,4,724,193,18,11,703,221,6,12,726,200,9,8,694,226,741,180
10003008-04,10,003,008-04,1214.665749656121,745.79477303989,9.997248968363136,6.998074277854196,1227.6621733149932,662.817606602476,14.995873452544703,23.993397524071526,1125.6902338376892,757.7914718019258,7.997799174690509,28.992022008253095,1231.6610729023384,670.8154057771665,4.998624484181568,19.994497936726273,1186.6734525447043,706.8055020632737,1229.6616231086657,674.8143053645117
10003008-05,10,003,008-05,1286,451,19,3.0000000000000004,1257,423,23,21,1255,437,13,12.000000000000002,1249,441,12.000000000000002,19,1258.0000000000002,445,1288,411
10003008-06,10,003,008-06,1113,562,34,10,1111,535,27,27,1065,584,17,23,1111,544,11,22,1086,582,1108,562
10003008-07,10,003,008-07,859,496,10,6,867,454,12,16,800,515,6,17,860,468,9,11,816,505,840,482
10003008-08,10,003,008-08,1290.3492402107413,735.1824545069078,15.004874738734177,7.002089173743219,1279.3523739713562,679.1664375082097,15.004178347486437,27.008356694972875,1240.3433208851357,711.1730532250633,14.002785564990958,27.009053086220614,1292.3516775801083,684.1678302907052,9.002785564990958,23.008704890596746,1243.353070362604,730.1740978119349,1264.3488920151176,710.1734014206871
10003008-09,10,003,008-09,748,448,12,7,747,416,13,17,710,453,8,12,746,430,6,16,737,441,754,419
10003008-10,10,003,008-10,719.9436188811188,195.81687062937064,6.8194930069930075,1.9484265734265733,669.284527972028,163.66783216783216,18.510052447552447,18.510052447552447,663.4392482517483,171.46153846153845,10.716346153846153,16.561625874125873,689.743006993007,163.66783216783216,14.613199300699302,13.638986013986015,662.465034965035,180.22945804195805,691.6914335664336,160.74519230769232
10003008-12,10,003,008-12,826.2327497425335,557.6343975283213,11.494335736354273,5.205973223480948,850.8918640576725,498.94541709577754,7.7826982492276,26.659114315139032,751.719876416066,592.1585993820803,6.659114315139032,17.329557157569518,826.4799176107107,538.2224510813594,6.247167868177137,13.411946446961895,784.4500514933059,578.6755921730174,755.3264675592173,600.0051493305871
10003008-13,10,003,008-13,899.5260289814441,379.0516100734642,13.468838936620555,7.696479392354602,876.4365908043803,325.17625432698196,16.35501870875353,15.392958784709204,851.4230327792279,348.2656925040458,12.50677901257623,20.203258404930832,890.8674896650452,324.2141944029376,8.658539316398928,19.241198480886506,882.2089503486463,327.1003741750706,898.5639690573998,326.13831425102626
10003008-15,10,003,008-15,429,302,8,6,429,279,8,11,413,286,5,12,432,276,5,12,420,285,436,274
10003008-16,10,003,008-16,1098.6231028667792,218.11045531197303,10.003372681281618,9.00168634064081,1028.5952782462057,186.10539629005058,14.003372681281618,21.00758853288364,1039.597807757167,192.10455311973018,8.002529510961214,17.00337268128162,1039.602023608769,202.1070826306914,7.001686340640809,20.004215851602023,994.5826306913997,233.11635750421584,1046.6003372681282,189.10455311973018
10003008-17,10,003,008-17,461,126,4,1,426,118,7,5,428,124,3,4,426,127,2,5,408,138,448,104
10003008-18,10,003,008-18,775,206,9,4,743,203,8,9,739,205,7,9,751,198,5,10,724,226,745,204
10003008-19,10,003,008-19,669,480,16,6,658,451,8,26,627,460,6,35,666,441,10,23,665,441,691,422
10003008-21,10,003,008-21,993.3113807047949,546.2871172732524,19.241478913922588,7.114384748700173,977.891969959561,512.8168688619295,14.203350664355863,28.330444829578276,930.6250722125939,533.9566724436742,16.152512998266896,34.27960716348932,974.94280762565,520.6516464471404,15.17793183131138,28.457538994800693,952.7140381282496,542.1346042749856,992.209705372617,515.6516464471404
10003008-22,10,003,008-22,542,367,14,9,542,337,13,18,497,381,7,17,528,350,11,19,516,370,550,345
10003008-23,10,003,008-23,789.0036638037833,390.56074758577506,19.79894711110949,3.3836343375405815,798.8102377491497,347.6104202105466,20.950327375228447,9.879820920412163,753.9043993214495,394.803468134755,12.796305711951915,12.522104969087541,792.1051732009869,366.1221578251478,11.987090367428005,8.537656000817117,782.2518470393599,385.3881553611861,782.3068024624465,382.82156144457025
10003008-24,10,003,008-24,706,465,18,12,688,426,21,23,666,439,18,21,678,454,12,18,679,452,729,414
10003008-25,10,003,008-25,403.5841288782816,202.54415274463008,7.644988066825776,0.19630071599045346,402.16348448687353,176.42243436754177,7.5889021479713605,7.616945107398568,390.3502386634845,185.2356801909308,6.364558472553699,9.58890214797136,401.1354415274463,183.67482100238664,5.532816229116945,7.644988066825776,400.7989260143198,188.09546539379474,407.38782816229116,181.73090692124106
10003008-26,10,003,008-26,250,109,1,2,236.99999999999997,98,6,6.999999999999999,236.99999999999997,101,3,4,236,103,1,6.999999999999999,235,105,245.99999999999997,100
10003008-27,10,003,008-27,1004,655,11,4,1001,610,17,10,968,653,11,10,1006,608,15,9,1008,615,1007,605
10003009-01,10,003,009-01,864,71,3,5,816,69,13,5,820,83,3,8,821,77,4,6,767,123,793,77
10003009-02,10,003,009-02,413,215,6,4,410,192,9,11,398,201,5,11,407,198,8,10,397,212,424,185
10003009-03,10,003,009-03,856,97,4,5,773,80,18,15,790,79,9,11,806,82,3,16,755,107,786,79
10003009-04,10,003,009-04,513,77,4,1,485,63,11,13.999999999999998,482,77,4,13,484,73,0,16,469,91,475.99999999999994,80
10003009-05,10,003,009-05,782,116,8,1,736,102,9,15,734,97,5,19,725,111,5,18,718,122,734,104
10003009-06,10,003,009-06,1133,493,16,6,1138,436,21,29,1081,496,15,23,1130,462,10,21,1096,484,1090,490
10003009-07,10,003,009-07,717,376,12,4,704,352,16,12,686,375,5,15,704,354,9,15,713,360,712,363
10003009-08,10,003,009-08,136,163,4,0,144,147,4,2,132,157,2,4,141,150,4,2,139,152,150,140
10003009-09,10,003,009-09,477.4494604969926,724.584130092117,14.87778555019892,3.6375037424137755,511.96262307585295,653.6959300891189,11.486724500765154,24.422536833267184,461.8594561637082,697.0983027899598,14.467457566947003,21.168251778250724,497.2216135200713,675.4926137326026,6.8646795015756314,14.276462980820488,503.86695962452154,679.486226866559,534.9077332663843,646.3395947167274
10003009-10,10,003,009-10,601,424,19,5,622,386,16,12,580,417,12,19,620,392,12,8,595,423,609,413
10003009-12,10,003,009-12,753.4914285714286,436.77142857142854,10.457142857142857,6.228571428571429,775.4971428571429,392.44000000000005,8.457142857142857,13.777142857142858,692.1600000000001,461.0057142857143,11.22857142857143,13.685714285714287,763.3085714285714,411.22285714285715,8.32,8.54857142857143,713.5314285714286,446.1828571428572,714.2685714285715,450.4457142857143
10003009-13,10,003,009-13,803.3410841794574,334.9918713814218,4.953994821621443,11.847794309230759,777.6556260491124,298.44593513428185,11.852147774091248,21.73619336060144,763.8070785658468,314.2647615375587,6.9155668119117655,17.789105323288098,792.4544852734996,305.3702088759146,8.894552661644049,16.79743566599171,773.6976543496478,308.3321574532223,827.0236124033374,270.8054352109373
10003009-15,10,003,009-15,356,265,9,4,356,252,4,12,338,261,6,11,358,258,1,6,362,249,379,239
