GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10001002-31,10,001,002-31,804.8038101582015,432.23325895087424,9.830154870940882,15.182361365528726,845.6532489592007,383.4211557035803,782.1053455453789,457.18895587010826,718.8985711906745,513.1101881765196,13.042464612822648,769.4657585345545,473.519620316403
10001002-32,10,001,002-32,627.1989659336425,390.3337973195246,15.636126329035864,16.73945763444907,666.6777162427877,349.1381831872444,639.0166566752248,389.5894801201133,548.5610228538746,457.5915051170566,29.45484715397661,619.3962857247001,410.27328256789974
10001002-33,10,001,002-33,926.2571633871445,835.0282262042175,11.755656579665324,18.879080838337522,979.8768298182986,755.9096250399043,935.002529849494,841.8939097604506,791.2400150116537,957.3331688021144,24.729986069447463,887.4551046356671,875.6218832345236
10001002-34,10,001,002-34,76.50508323527606,171.83512878187528,0.7292007865927035,4.726099775602285,91.3451711799691,153.25430211243366,83.15993873755606,168.1738535304618,57.18747375133744,194.2773518401413,1.8806444296802667,71.90276721605417,180.36827480581994
10001003-28,10,001,003-28,224.2399455622882,157.3827125064623,4.194181784831383,6.206039738231044,228.6076048829376,149.97437664864896,226.16054726109996,160.43242401698407,191.50207643302645,186.5594724911061,10.025859357683046,215.65370902085002,170.1661424905178
10001003-29,10,001,003-29,301.1128432831546,354.75950325806207,5.3575421256628015,5.128278888559442,318.4104604429739,325.5107509647863,308.88255249694527,346.02386651902407,247.9366548821199,400.5227666437313,12.853134860456152,291.60800301559334,362.68439778783744
10001003-30,10,001,003-30,374.57142857142856,893.3333333333334,10.80952380952381,12.746031746031745,431.4920634920635,803.7936507936507,424.8095238095238,845.0952380952381,282.1587301587301,965.8730158730159,31.555555555555554,356.07936507936506,917.8253968253969
10001003-31,10,001,003-31,1136,643,12,20,1162,592,1105,679,954,810,24,1090,682
10001003-32,10,001,003-32,500.1349099248198,334.6867759703377,10.640710898072648,16.167265668620065,534.6741423888784,294.8999687714231,507.6689480921851,340.0810952463345,431.45257715166883,397.7085610369249,14.942235530856147,494.89197243917454,352.6515786709229
10001003-33,10,001,003-33,516.3341426932602,646.1497211019627,4.880284902582799,9.760569805165598,573.9215045437372,551.4721939918563,559.2806498359888,602.2271569787174,427.5129574662532,727.1624504848371,14.640854707748398,505.597515907578,652.0060629850619
10001003-34,10,001,003-34,1005.6258094371158,1093.4419668677615,25.193590849877967,22.1466570203312,1074.3724870522885,1001.5681650392034,1045.1209735000753,1075.2528902993586,863.0229683754084,1228.937737620578,29.364407232810038,982.8762080917849,1133.9799199380534
10001004-28,10,001,004-28,22.964912280701753,30.719298245614034,0.2982456140350877,0,25.052631578947366,28.33333333333333,23.263157894736842,30.719298245614034,19.982456140350877,32.21052631578947,1.1929824561403508,23.561403508771928,29.82456140350877
10001004-29,10,001,004-29,263.30284396617986,326.412759415834,5.690238278247501,4.655649500384319,281.40814757878553,297.44427363566484,275.71790930053805,316.06687163720215,210.53881629515757,375.5557263643351,10.863182167563412,255.02613374327439,333.65488086087623
